nt n SUN kernel bw
7 16 SUN-array Plaquette-Trace 24.6359
7 16 SUN-array Plaquette-NotraceTrace 79.0708
7 20 mu-external MatMul 303.4021
7 20 mu-external MatMulTmp 83.4750
7 20 mu-external MatMulInter 76.1356
7 20 mu-external conjMatMul 83.1348
7 20 mu-external HalfStaple 356.3695
7 20 mu-external Plaquette 28.0506
7 20 SUN-internal MatMul 316.6970
7 20 SUN-internal MatMulTmp 84.3443
7 20 SUN-internal MatMulInter 77.1775
7 20 SUN-internal conjMatMul 84.0960
7 20 SUN-internal HalfStaple 130.7098
7 20 SUN-internal Plaquette 35.5667
7 20 SUN-internal Plaquette-Kernel 27.8569
7 20 SUN-internal Plaquette-Notrace 32.5774
7 20 SUN-internal Plaquette-Trace 143.9172
7 20 SUN-internal Plaquette-NotraceTrace 34.4485
7 20 SUN-array MatMul 386.3357
7 20 SUN-array conjMatMul 370.3054
7 20 SUN-array HalfStaple 318.1134
7 20 SUN-array Plaquette 39.1161
7 20 SUN-array Plaquette-Kernel 38.5673
7 20 SUN-array Plaquette-Notrace 59.5952
7 20 SUN-array Plaquette-Trace 48.0273
7 20 SUN-array Plaquette-NotraceTrace 66.9564
7 24 mu-external MatMul 315.0072
7 24 mu-external MatMulTmp 99.2402
7 24 mu-external MatMulInter 88.0096
7 24 mu-external conjMatMul 99.4172
7 24 mu-external HalfStaple 377.9876
7 24 mu-external Plaquette 46.3844
7 24 SUN-internal MatMul 323.5681
7 24 SUN-internal MatMulTmp 100.2107
7 24 SUN-internal MatMulInter 88.1569
7 24 SUN-internal conjMatMul 99.8630
7 24 SUN-internal HalfStaple 168.6764
7 24 SUN-internal Plaquette 52.3031
7 24 SUN-internal Plaquette-Kernel 46.6353
7 24 SUN-internal Plaquette-Notrace 42.3714
7 24 SUN-internal Plaquette-Trace 264.2011
7 24 SUN-internal Plaquette-NotraceTrace 45.0689
7 24 SUN-array MatMul 452.6955
7 24 SUN-array conjMatMul 430.3436
7 24 SUN-array HalfStaple 368.3037
7 24 SUN-array Plaquette 55.5994
7 24 SUN-array Plaquette-Kernel 54.3687
7 24 SUN-array Plaquette-Notrace 69.8384
7 24 SUN-array Plaquette-Trace 92.6409
7 24 SUN-array Plaquette-NotraceTrace 75.4128
7 28 mu-external MatMul 281.0292
7 28 mu-external MatMulTmp 110.6244
7 28 mu-external MatMulInter 96.6763
7 28 mu-external conjMatMul 110.5989
7 28 mu-external HalfStaple 338.2346
7 28 mu-external Plaquette 36.4055
7 28 SUN-internal MatMul 285.5046
7 28 SUN-internal MatMulTmp 111.3531
7 28 SUN-internal MatMulInter 96.4024
7 28 SUN-internal conjMatMul 111.3502
7 28 SUN-internal HalfStaple 188.5772
7 28 SUN-internal Plaquette 46.4216
7 28 SUN-internal Plaquette-Kernel 36.5409
7 28 SUN-internal Plaquette-Notrace 41.9402
7 28 SUN-internal Plaquette-Trace 372.0772
7 28 SUN-internal Plaquette-NotraceTrace 44.7095
7 28 SUN-array MatMul 421.5952
7 28 SUN-array conjMatMul 398.4227
7 28 SUN-array HalfStaple 363.4300
7 28 SUN-array Plaquette 48.5319
7 28 SUN-array Plaquette-Kernel 47.8506
7 28 SUN-array Plaquette-Notrace 67.1567
7 28 SUN-array Plaquette-Trace 132.2481
7 28 SUN-array Plaquette-NotraceTrace 70.7737
7 32 mu-external MatMul 387.4960
7 32 mu-external MatMulTmp 137.4267
7 32 mu-external MatMulInter 124.3423
7 32 mu-external conjMatMul 138.5407
7 32 mu-external HalfStaple 403.8759
7 32 mu-external Plaquette 66.6158
7 32 SUN-internal MatMul 377.9076
7 32 SUN-internal MatMulTmp 140.8059
7 32 SUN-internal MatMulInter 125.1947
7 32 SUN-internal conjMatMul 139.7804
7 32 SUN-internal HalfStaple 250.0344
7 32 SUN-internal Plaquette 74.6340
7 32 SUN-internal Plaquette-Kernel 67.0843
7 32 SUN-internal Plaquette-Notrace 59.9226
7 32 SUN-internal Plaquette-Trace 521.5877
7 32 SUN-internal Plaquette-NotraceTrace 65.9496
7 32 SUN-array MatMul 441.5937
7 32 SUN-array conjMatMul 417.1315
7 32 SUN-array HalfStaple 402.0196
7 32 SUN-array Plaquette 62.4548
7 32 SUN-array Plaquette-Kernel 60.7854
7 32 SUN-array Plaquette-Notrace 73.0160
7 32 SUN-array Plaquette-Trace 185.4348
7 32 SUN-array Plaquette-NotraceTrace 76.4255
7 36 mu-external MatMul 286.7203
7 36 mu-external MatMulTmp 102.3342
7 36 mu-external MatMulInter 89.1280
7 36 mu-external conjMatMul 101.6968
7 36 mu-external HalfStaple 345.2575
7 36 mu-external Plaquette 34.6577
7 36 SUN-internal MatMul 287.9547
7 36 SUN-internal MatMulTmp 103.0942
7 36 SUN-internal MatMulInter 89.1335
7 36 SUN-internal conjMatMul 102.8406
7 36 SUN-internal HalfStaple 195.2942
7 36 SUN-internal Plaquette 44.0987
7 36 SUN-internal Plaquette-Kernel 34.3894
7 36 SUN-internal Plaquette-Notrace 41.6104
7 36 SUN-internal Plaquette-Trace 652.3889
7 36 SUN-internal Plaquette-NotraceTrace 44.5556
7 36 SUN-array MatMul 442.7619
7 36 SUN-array conjMatMul 416.4597
7 36 SUN-array HalfStaple 372.9832
7 36 SUN-array Plaquette 51.3647
7 36 SUN-array Plaquette-Kernel 49.7136
7 36 SUN-array Plaquette-Notrace 66.7615
7 36 SUN-array Plaquette-Trace 262.8558
7 36 SUN-array Plaquette-NotraceTrace 68.9269
7 40 mu-external MatMul 304.4620
7 40 mu-external MatMulTmp 110.2960
7 40 mu-external MatMulInter 95.0015
7 40 mu-external conjMatMul 109.7483
7 40 mu-external HalfStaple 350.7249
7 40 mu-external Plaquette 53.4752
7 40 SUN-internal MatMul 304.0578
