nt n SUN kernel bw
32 32 internal MatMulInter 562.0170
32 32 internal conjMatMul 1130.7680
32 32 internal HalfStaple 1184.9432
32 32 internal Plaquette 447.2222
32 32 internal Plaquette_Kernel 469.5138
32 32 internal Plaquette_Notrace 653.6578
32 32 internal Plaquette_Trace 702.3576
32 32 internal Plaquette_NotraceTrace 647.8095
32 32 array MatMul 885.0554
32 32 array conjMatMul 904.2010
32 32 array HalfStaple 1113.9565
32 32 array Plaquette 473.3707
32 32 array Plaquette_Kernel 519.2166
32 32 array Plaquette_Notrace 761.8025
32 32 array Plaquette_Trace 281.6860
32 32 array Plaquette_NotraceTrace 768.2881
32 36 internal MatMul 1038.0797
32 36 internal MatMulTmp 1169.4567
32 36 internal MatMulInter 403.6580
32 36 internal conjMatMul 1168.8869
32 36 internal HalfStaple 976.6826
32 36 internal Plaquette 336.4839
32 36 internal Plaquette_Kernel 352.5148
32 36 internal Plaquette_Notrace 501.0107
32 36 internal Plaquette_Trace 697.0506
32 36 internal Plaquette_NotraceTrace 514.8335
32 36 array MatMul 975.0440
32 36 array conjMatMul 996.5751
32 36 array HalfStaple 1181.2165
32 36 array Plaquette 364.9551
32 36 array Plaquette_Kernel 396.4872
32 36 array Plaquette_Notrace 719.2150
32 36 array Plaquette_Trace 266.5740
32 36 array Plaquette_NotraceTrace 723.7788
32 40 internal MatMul 1079.2061
32 40 internal MatMulTmp 1207.5574
32 40 internal MatMulInter 490.7552
32 40 internal conjMatMul 1204.4409
32 40 internal HalfStaple 1077.9357
32 40 internal Plaquette 369.3036
32 40 internal Plaquette_Kernel 383.4906
32 40 internal Plaquette_Notrace 550.2247
32 40 internal Plaquette_Trace 819.4622
32 40 internal Plaquette_NotraceTrace 565.5279
32 40 array MatMul 969.8675
32 40 array conjMatMul 991.7818
32 40 array HalfStaple 1202.2961
32 40 array Plaquette 395.7786
32 40 array Plaquette_Kernel 428.6043
32 40 array Plaquette_Notrace 757.0221
32 40 array Plaquette_Trace 317.9112
32 40 array Plaquette_NotraceTrace 768.1975
32 44 internal MatMul 1006.3429
32 44 internal MatMulTmp 1131.8072
32 44 internal MatMulInter 452.7569
32 44 internal conjMatMul 1129.9530
32 44 internal HalfStaple 1042.6489
32 44 internal Plaquette 403.2043
32 44 internal Plaquette_Kernel 417.5567
32 44 internal Plaquette_Notrace 570.6907
32 44 internal Plaquette_Trace 907.1083
32 44 internal Plaquette_NotraceTrace 586.8879
32 44 array MatMul 936.5236
32 44 array conjMatMul 956.9392
32 44 array HalfStaple 1209.7010
32 44 array Plaquette 424.0092
32 44 array Plaquette_Kernel 458.6122
32 44 array Plaquette_Notrace 769.2820
32 44 array Plaquette_Trace 363.7560
32 44 array Plaquette_NotraceTrace 783.5950
32 48 internal MatMul 1023.8809
32 48 internal MatMulTmp 1145.6106
