nt n SUN kernel bw
64 32 internal conjMatMul 113.4138
64 32 internal HalfStaple 80.1057
64 32 internal Plaquette 65.6335
64 32 internal Plaquette_Kernel 66.4399
64 32 internal Plaquette_Notrace 53.8207
64 32 internal Plaquette_Trace 42.8839
64 32 internal Plaquette_NotraceTrace 51.0215
64 32 array MatMul 118.6688
64 32 array conjMatMul 113.4303
64 32 array HalfStaple 80.7540
64 32 array Plaquette 44.7328
64 32 array Plaquette_Kernel 24.4834
64 32 array Plaquette_Notrace 60.7488
64 32 array Plaquette_Trace 73.3206
64 32 array Plaquette_NotraceTrace 64.2333
64 36 internal MatMul 114.6505
64 36 internal MatMulTmp 113.1071
64 36 internal MatMulInter 113.0444
64 36 internal conjMatMul 113.0493
64 36 internal HalfStaple 81.3565
64 36 internal Plaquette 66.4621
64 36 internal Plaquette_Kernel 68.5954
64 36 internal Plaquette_Notrace 55.4906
64 36 internal Plaquette_Trace 45.4213
64 36 internal Plaquette_NotraceTrace 53.5436
64 36 array MatMul 115.8973
64 36 array conjMatMul 113.3903
64 36 array HalfStaple 82.9095
64 36 array Plaquette 45.6367
64 36 array Plaquette_Kernel 23.8202
64 36 array Plaquette_Notrace 62.0864
64 36 array Plaquette_Trace 116.9751
64 36 array Plaquette_NotraceTrace 66.7642
64 40 internal MatMul 114.9018
64 40 internal MatMulTmp 113.3520
64 40 internal MatMulInter 113.3938
64 40 internal conjMatMul 113.4728
64 40 internal HalfStaple 82.3341
64 40 internal Plaquette 68.6480
64 40 internal Plaquette_Kernel 71.5028
64 40 internal Plaquette_Notrace 56.4796
64 40 internal Plaquette_Trace 44.3333
64 40 internal Plaquette_NotraceTrace 55.0939
64 40 array MatMul 115.6525
64 40 array conjMatMul 113.5829
64 40 array HalfStaple 84.9159
64 40 array Plaquette 48.7973
64 40 array Plaquette_Kernel 24.4599
64 40 array Plaquette_Notrace 65.2441
64 40 array Plaquette_Trace 110.6934
64 40 array Plaquette_NotraceTrace 67.9739
64 44 internal MatMul 115.1586
64 44 internal MatMulTmp 113.7501
64 44 internal MatMulInter 113.7715
64 44 internal conjMatMul 113.7450
64 44 internal HalfStaple 83.1020
64 44 internal Plaquette 67.1307
64 44 internal Plaquette_Kernel 68.8464
64 44 internal Plaquette_Notrace 56.3599
64 44 internal Plaquette_Trace 43.4888
64 44 internal Plaquette_NotraceTrace 54.5616
64 44 array MatMul 114.4397
64 44 array conjMatMul 113.2322
64 44 array HalfStaple 85.3722
64 44 array Plaquette 48.1456
64 44 array Plaquette_Kernel 24.4114
64 44 array Plaquette_Notrace 64.8328
64 44 array Plaquette_Trace 134.3012
64 44 array Plaquette_NotraceTrace 69.3069
64 48 internal MatMul 115.9971
64 48 internal MatMulTmp 114.8570
64 48 internal MatMulInter 114.9935
64 48 internal conjMatMul 114.8745
64 48 internal HalfStaple 83.6112
64 48 internal Plaquette 62.8812
64 48 internal Plaquette_Kernel 63.5895
64 48 internal Plaquette_Notrace 55.4946
64 48 internal Plaquette_Trace 46.0773
64 48 internal Plaquette_NotraceTrace 54.5764
64 48 array MatMul 115.7589
64 48 array conjMatMul 114.8667
64 48 array HalfStaple 86.4390
64 48 array Plaquette 48.0912
64 48 array Plaquette_Kernel 24.5131
64 48 array Plaquette_Notrace 65.1228
64 48 array Plaquette_Trace 132.8285
64 48 array Plaquette_NotraceTrace 69.2931
64 52 internal MatMul 113.9203
64 52 internal MatMulTmp 113.5288
64 52 internal MatMulInter 113.6202
64 52 internal conjMatMul 113.6244
64 52 internal HalfStaple 83.7392
64 52 internal Plaquette 54.4887
64 52 internal Plaquette_Kernel 53.8948
64 52 internal Plaquette_Notrace 57.6254
64 52 internal Plaquette_Trace 46.9493
64 52 internal Plaquette_NotraceTrace 51.1337
64 52 array MatMul 113.8883
64 52 array conjMatMul 113.3639
64 52 array HalfStaple 86.8231
64 52 array Plaquette 45.8328
64 52 array Plaquette_Kernel 24.0051
64 52 array Plaquette_Notrace 67.1831
64 52 array Plaquette_Trace 110.8953
64 52 array Plaquette_NotraceTrace 71.9546
64 56 internal MatMul 115.4934
64 56 internal MatMulTmp 114.9377
64 56 internal MatMulInter 114.8813
64 56 internal conjMatMul 114.9098
64 56 internal HalfStaple 84.3635
64 56 internal Plaquette 51.4611
64 56 internal Plaquette_Kernel 51.1424
64 56 internal Plaquette_Notrace 58.5436
64 56 internal Plaquette_Trace 49.1746
64 56 internal Plaquette_NotraceTrace 57.7604
64 56 array MatMul 115.4686
64 56 array conjMatMul 115.0352
64 56 array HalfStaple 87.0790
64 56 array Plaquette 45.8103
64 56 array Plaquette_Kernel 24.4561
64 56 array Plaquette_Notrace 70.0610
64 56 array Plaquette_Trace 117.2559
64 56 array Plaquette_NotraceTrace 74.4514
64 60 internal MatMul 114.7864
64 60 internal MatMulTmp 114.3924
64 60 internal MatMulInter 114.4719
64 60 internal conjMatMul 114.4341
64 60 internal HalfStaple 84.3906
64 60 internal Plaquette 50.3881
64 60 internal Plaquette_Kernel 50.1007
64 60 internal Plaquette_Notrace 58.6920
64 60 internal Plaquette_Trace 48.4701
64 60 internal Plaquette_NotraceTrace 57.6824
64 60 array MatMul 114.9114
64 60 array conjMatMul 114.4773
64 60 array HalfStaple 86.1779
64 60 array Plaquette 46.7554
64 60 array Plaquette_Kernel 24.2301
64 60 array Plaquette_Notrace 70.2419
64 60 array Plaquette_Trace 145.3779
64 60 array Plaquette_NotraceTrace 74.9364
64 64 internal MatMul 114.9266
64 64 internal MatMulTmp 115.5422
64 64 internal MatMulInter 115.2794
64 64 internal conjMatMul 115.4355
64 64 internal HalfStaple 83.4626
64 64 internal Plaquette 32.5082
64 64 internal Plaquette_Kernel 33.3544
64 64 internal Plaquette_Notrace 59.7140
64 64 internal Plaquette_Trace 19.2350
64 64 internal Plaquette_NotraceTrace 50.1118
64 64 array MatMul 115.8830
64 64 array conjMatMul 115.5146
64 64 array HalfStaple 87.3956
64 64 array Plaquette 26.9579
64 64 array Plaquette_Kernel 24.6159
64 64 array Plaquette_Notrace 73.6000
64 64 array Plaquette_Trace 109.4652
64 64 array Plaquette_NotraceTrace 77.6404
64 68 internal MatMul 114.4673
64 68 internal MatMulTmp 114.3893
64 68 internal MatMulInter 114.3988
64 68 internal conjMatMul 114.4473
64 68 internal HalfStaple 83.7765
64 68 internal Plaquette 49.1623
64 68 internal Plaquette_Kernel 48.4732
64 68 internal Plaquette_Notrace 55.8437
64 68 internal Plaquette_Trace 49.2516
64 68 internal Plaquette_NotraceTrace 54.8165
64 68 array MatMul 115.0557
64 68 array conjMatMul 114.9043
64 68 array HalfStaple 86.5971
64 68 array Plaquette 45.6774
64 68 array Plaquette_Kernel 24.5029
64 68 array Plaquette_Notrace 71.7673
64 68 array Plaquette_Trace 134.9880
64 68 array Plaquette_NotraceTrace 75.2227
128 4 internal MatMul 13.5033
128 4 internal MatMulTmp 13.5322
128 4 internal MatMulInter 13.5488
128 4 internal conjMatMul 13.5239
128 4 internal HalfStaple 3.4571
128 4 internal Plaquette 3.7068
128 4 internal Plaquette_Kernel 3.6391
128 4 internal Plaquette_Notrace 4.1829
128 4 internal Plaquette_Trace 0.3386
128 4 internal Plaquette_NotraceTrace 2.3085
128 4 array MatMul 13.1775
128 4 array conjMatMul 13.4092
128 4 array HalfStaple 3.3331
128 4 array Plaquette 3.2775
128 4 array Plaquette_Kernel 2.8151
